Nro;Dinossauro;Descrição;Pagina
0;Coelophysis;O Coelophysis é um dinossauro bípede que viveu durante o período Triássico. Seus fósseis foram encontrados na América do Norte. Este dinossauro carnívoro tinha uma mandíbula cheia de dentes afiados, perfeito para caçar pequenas presas.;0
1;Herrerasaurus;O Herrerasaurus é um dos mais antigos dinossauros conhecidos, do período Triássico. Ele era um predador carnívoro com pernas fortes e garras afiadas. Seus fósseis foram encontrados na América do Sul.;0
2;Plateosaurus;O Plateosaurus era um dinossauro herbívoro que viveu no período Triássico. Ele tinha um pescoço longo e uma cauda poderosa. Sua dieta consistia principalmente de plantas.;0
3;Procompsognathus;O Procompsognathus é um pequeno dinossauro do período Triássico. Ele era um carnívoro ágil, conhecido por sua velocidade e habilidade de caça. Seus fósseis foram encontrados na Europa.;0
4;Riojasaurus;O Riojasaurus é um dinossauro herbívoro do período Triássico. Ele tinha um pescoço longo e uma cabeça pequena. Seus fósseis foram descobertos na América do Sul.;0
5;Allosaurus;O Allosaurus é um dos maiores dinossauros carnívoros do período Jurássico. Ele era um predador temível com dentes serrilhados e garras afiadas. Seus fósseis foram encontrados na América do Norte.;1
6;Brachiosaurus;O Brachiosaurus é um gigante herbívoro do período Jurássico. Ele tinha um pescoço muito longo e uma altura impressionante. Sua dieta consistia em folhas de árvores altas.;1
7;Diplodocus;O Diplodocus é um dinossauro herbívoro do período Jurássico. Ele tinha um pescoço extremamente longo e uma cauda comprida. Seus fósseis foram encontrados na América do Norte.;1
8;Stegosaurus;O Stegosaurus é um dinossauro herbívoro do período Jurássico. Ele era conhecido por suas placas ósseas nas costas e espinhos na cauda. Essas estruturas provavelmente eram usadas para defesa e regulagem de temperatura.;1
9;Archaeopteryx;O Archaeopteryx é um dinossauro com características de pássaro do período Jurássico. Ele tinha penas e asas, sugerindo que fosse capaz de voar. Isso o torna um elo entre dinossauros e aves.;1
10;Tyrannosaurus rex;O Tyrannosaurus rex, ou T. rex, é um dos maiores predadores carnívoros que já existiram. Ele viveu durante o período Cretáceo e era conhecido por seus dentes afiados e pequenos braços. Seus fósseis foram encontrados na América do Norte.;2
11;Triceratops;O Triceratops é um dinossauro herbívoro do período Cretáceo. Ele tinha três chifres distintos em seu rosto e uma grande placa óssea na parte traseira. Essas características provavelmente eram usadas em defesa contra predadores.;2
12;Velociraptor;O Velociraptor é um dinossauro carnívoro do período Cretáceo. Ele era ágil e possuía garras afiadas em seus pés. Sua inteligência e habilidades de caça eram impressionantes.;2
13;Ankylosaurus;O Ankylosaurus é um dinossauro herbívoro do período Cretáceo. Ele era conhecido por sua armadura óssea e uma grande clava na ponta da cauda, que usava para se defender contra predadores.;2
14;Spinosaurus;O Spinosaurus é um dinossauro carnívoro do período Cretáceo. Ele era um dos maiores dinossauros já descobertos e possuía uma crista dorsal impressionante em suas costas. Seus fósseis foram encontrados na África.;2
